State,Year,Literacy_rate,Male Literacy Rate (%),Female Literacy Rate (%),School Enrollment Rate (%),Dropout_Rate
West Bengal,2020,89.75444779,0.9465,0.725,0.7314,5.892441374
Gujarat,2020,78.55546267,0.7409,0.9342,0.5855,8.128808237
Ladakh,2019,77.68653294,0.9069,0.8246,0.633,6.625618744
Haryana,2022,83.59294565,0.9712,0.7981,0.8793,5.528023732
Himachal Pradesh,2023,74.36507776,0.6483,0.8236,0.974,9.045229477
Karnataka,2018,88.99922368,0.9442,0.7886,0.8448,4.230558094
Jharkhand,2019,85.72690029,0.8813,0.6034,0.6477,9.410571953
Meghalaya,2020,71.78822005,0.9017,0.5561,0.8048,6.768864788
Telangana,2023,78.35161552,0.9138,0.9419,0.9457,7.823208861
Lakshadweep,2019,87.58236615,0.7023,0.8687,0.6006,7.956123533
Chandigarh,2021,88.89464045,0.871,0.6176,0.9817,9.370706444
Odisha,2018,79.34803022,0.9176,0.8608,0.9314,7.820018093
Punjab,2020,82.26822778,0.9238,0.5857,0.8772,7.683601509
Punjab,2018,73.34067892,0.9047,0.8546,0.5921,4.399912243
Sikkim,2022,89.82337252,0.8021,0.6885,0.6136,7.110448132
Tripura,2020,74.63343403,0.6884,0.5038,0.8363,4.901014005
Madhya Pradesh,2021,88.85463548,0.8604,0.5339,0.603,8.424602612
Meghalaya,2023,82.99293298,0.8292,0.7267,0.8006,7.073331525
Odisha,2019,82.1547359,0.6684,0.5149,0.7262,8.081366675
Meghalaya,2018,80.25377022,0.7745,0.6893,0.6942,4.250037404
Odisha,2019,74.61339623,0.8931,0.6479,0.6369,4.508752096
Dadra & Nagar Haveli and Daman & Diu,2021,73.53056064,0.8427,0.5509,0.6399,8.297940328
Lakshadweep,2023,74.40972418,0.6228,0.7198,0.9093,4.432506016
Himachal Pradesh,2021,73.72876524,0.8435,0.5557,0.6155,4.427540367
Kerala,2021,85.59168947,0.9214,0.5892,0.9308,4.072650851
Sikkim,2018,77.00250518,0.7496,0.9448,0.6797,9.73900839
West Bengal,2022,71.15685353,0.7674,0.7123,0.7789,8.425050157
Kerala,2020,89.3820526,0.8304,0.8292,0.8467,6.119508451
Arunachal Pradesh,2021,87.6757177,0.6582,0.9635,0.575,5.779213488
Andhra Pradesh,2018,88.55504566,0.8538,0.5661,0.9705,6.098219378
Gujarat,2020,89.89815645,0.6594,0.6748,0.8767,8.647921187
Odisha,2022,73.47790498,0.9141,0.906,0.8463,7.968223666
Uttar Pradesh,2019,77.92484038,0.8863,0.5501,0.9513,5.111173407
Bihar,2022,85.16476951,0.6218,0.8074,0.5928,5.044656012
Himachal Pradesh,2022,83.92041236,0.9848,0.8995,0.8363,4.590373898
Ladakh,2019,73.07791813,0.925,0.5522,0.66,7.961816318
Manipur,2018,86.3166625,0.8443,0.9126,0.7835,8.586235973
Kerala,2023,74.48881144,0.8756,0.8551,0.9322,5.59027857
Puducherry,2023,74.4763523,0.7103,0.7442,0.9823,4.125669766
Lakshadweep,2021,80.73948846,0.8517,0.9608,0.7347,4.493030005
Dadra & Nagar Haveli and Daman & Diu,2019,81.8587987,0.9364,0.7423,0.7108,9.807160209
Andhra Pradesh,2021,81.60172416,0.803,0.8609,0.5463,5.772668665
Bihar,2021,71.82973675,0.7024,0.9533,0.5131,8.615338887
Jammu & Kashmir,2018,87.54921725,0.9352,0.5409,0.5633,7.747981413
Puducherry,2020,75.31200085,0.7785,0.5949,0.517,6.291637838
Chandigarh,2023,72.59029843,0.9352,0.9396,0.8879,5.234123573
Uttarakhand,2022,87.7749616,0.6072,0.9509,0.6338,4.728318509
Telangana,2022,89.11302996,0.6365,0.6538,0.8982,7.690077808
Karnataka,2022,87.24255235,0.6783,0.9617,0.8244,8.647802684
Meghalaya,2020,86.19032149,0.8175,0.7086,0.9858,7.863425521
Maharashtra,2020,83.10483961,0.6189,0.5549,0.5464,7.181812799
Himachal Pradesh,2020,81.01714741,0.7235,0.6541,0.9663,4.251707341
Jammu & Kashmir,2023,71.7397352,0.9747,0.6659,0.9005,9.810932666
Himachal Pradesh,2019,78.16906426,0.9616,0.7383,0.5037,8.79228515
Ladakh,2022,77.45377034,0.8719,0.6032,0.7488,5.75693222
Punjab,2023,75.19507568,0.9252,0.5757,0.5397,9.879821976
Andhra Pradesh,2023,84.46840227,0.617,0.6254,0.572,7.611289538
Assam,2022,79.9175147,0.8442,0.9243,0.7096,7.494535949
Kerala,2022,71.62092432,0.696,0.5317,0.5883,8.488439077
Rajasthan,2023,74.40366404,0.6709,0.7616,0.9393,8.870618729
Nagaland,2022,83.66517527,0.7244,0.6706,0.5488,7.938871644
Uttarakhand,2020,71.52261719,0.8731,0.7099,0.7877,4.768574478
Odisha,2022,87.02413828,0.7521,0.8464,0.5775,6.029605036
Kerala,2021,79.90293054,0.7389,0.9644,0.7929,9.568501842
Uttarakhand,2022,79.61173155,0.9457,0.9556,0.8096,5.347693671
Chandigarh,2021,81.84815569,0.7572,0.8597,0.6225,6.233002143
Mizoram,2019,86.49361932,0.8496,0.6019,0.9384,6.592461298
Madhya Pradesh,2022,76.95618416,0.9046,0.5966,0.8846,6.636429938
Gujarat,2023,83.56032305,0.8218,0.6323,0.7409,7.677637495
Lakshadweep,2023,81.31463928,0.6233,0.8594,0.9079,9.658455026
Lakshadweep,2022,75.3405654,0.9758,0.6705,0.6135,5.444156271
Rajasthan,2019,87.57259973,0.8551,0.6254,0.8044,4.729008258
Manipur,2022,85.94852043,0.9889,0.7061,0.5458,5.184822939
Arunachal Pradesh,2018,83.16903669,0.6993,0.5072,0.7521,9.321549401
Telangana,2019,87.01163458,0.7607,0.7913,0.6674,7.874864876
Arunachal Pradesh,2019,87.34588402,0.7868,0.7245,0.64,5.715440735
Madhya Pradesh,2021,84.16725953,0.982,0.9424,0.8496,8.895681634
Goa,2019,86.74026657,0.6564,0.6744,0.7618,9.168219978
Andhra Pradesh,2018,83.94942923,0.7163,0.5137,0.5838,9.079086032
Andaman & Nicobar Islands,2022,83.60281544,0.8331,0.8471,0.8955,9.513559202
Lakshadweep,2023,82.37222756,0.8887,0.7916,0.7544,5.513446121
Himachal Pradesh,2023,85.05433279,0.8999,0.7207,0.8494,8.530251572
Manipur,2022,73.17210211,0.9482,0.9448,0.5053,6.763236984
Jammu & Kashmir,2020,87.61741518,0.8969,0.7503,0.8495,9.051991317
Chandigarh,2018,87.43687055,0.6109,0.6259,0.9189,8.370944063
Uttar Pradesh,2021,70.58494566,0.6614,0.9339,0.6353,8.658684679
Tripura,2018,86.51633501,0.8761,0.723,0.5316,7.936971026
Uttarakhand,2021,72.57739735,0.98,0.8508,0.6028,5.064572617
Dadra & Nagar Haveli and Daman & Diu,2018,76.70237709,0.6393,0.7244,0.8428,7.270161513
Mizoram,2020,84.87016513,0.6364,0.6794,0.7457,9.908018437
Nagaland,2021,73.21519792,0.9712,0.5128,0.6318,9.624328399
Tripura,2021,86.35934048,0.923,0.8841,0.887,4.259042415
Andaman & Nicobar Islands,2023,86.64268356,0.6334,0.8368,0.6545,4.988888894
Maharashtra,2021,80.14935468,0.847,0.5542,0.6019,4.790372641
Telangana,2020,70.12771743,0.6682,0.7397,0.5453,8.35587946
Puducherry,2023,75.74076266,0.7008,0.8153,0.9779,8.906711979
Haryana,2021,82.33853837,0.9106,0.7312,0.7868,5.281068198
Mizoram,2020,89.62372356,0.8274,0.9399,0.6121,7.035116158
Karnataka,2020,82.63627054,0.7821,0.8458,0.7421,9.044218168
Gujarat,2021,75.19607162,0.6168,0.5448,0.5085,8.396809269
Andaman & Nicobar Islands,2018,82.68011406,0.7699,0.9149,0.7722,7.253423233
Manipur,2020,80.79970759,0.7547,0.7461,0.931,7.542086143
Andhra Pradesh,2020,85.5969079,0.8227,0.9286,0.8512,7.050163281
Andhra Pradesh,2018,72.13961278,0.7086,0.903,0.9788,5.785290708
Karnataka,2022,85.22055805,0.6082,0.9419,0.7842,7.390131957
Himachal Pradesh,2023,80.82533157,0.7583,0.9556,0.5202,8.133311812
Ladakh,2021,89.25984008,0.6452,0.8768,0.9122,9.239937495
West Bengal,2022,76.83744332,0.6727,0.8514,0.5182,7.817748124
Mizoram,2020,82.65243786,0.6388,0.7355,0.616,8.566729222
Punjab,2022,88.64056211,0.9058,0.9745,0.7693,4.96042981
West Bengal,2021,72.05019456,0.8083,0.732,0.8212,6.769344847
Goa,2023,88.74456974,0.6075,0.836,0.9891,4.055989719
Punjab,2023,83.75771445,0.9647,0.8957,0.8984,5.480073187
Nagaland,2020,71.35674118,0.7694,0.6141,0.5661,8.358770291
Andhra Pradesh,2021,76.01927134,0.6817,0.8255,0.8258,9.950859708
Tripura,2021,84.16344177,0.7474,0.7478,0.5443,4.595068598
Dadra & Nagar Haveli and Daman & Diu,2020,71.34701203,0.705,0.8933,0.796,6.408965895
Uttarakhand,2023,81.6434092,0.8402,0.7286,0.7584,8.800425812
Jammu & Kashmir,2019,76.91766114,0.6003,0.8826,0.6013,5.224213808
Uttar Pradesh,2018,82.41831036,0.8289,0.6005,0.9455,7.330509696
Rajasthan,2021,70.91484068,0.8479,0.7022,0.6958,8.398427776
Meghalaya,2021,87.43073612,0.9286,0.5526,0.8161,7.695912702
Telangana,2023,89.46977938,0.6833,0.6111,0.9027,5.128148408
Nagaland,2018,89.37755711,0.8214,0.5707,0.8368,6.132307412
Jharkhand,2018,84.99303663,0.7903,0.888,0.7651,8.702750707
Puducherry,2019,72.6017248,0.6591,0.76,0.9657,7.325359085
West Bengal,2018,85.16526392,0.7582,0.8537,0.6604,4.031377681
Haryana,2022,70.49173833,0.9459,0.8571,0.5662,8.56594456
Himachal Pradesh,2021,70.44247103,0.9443,0.6347,0.9026,4.21186813
Andhra Pradesh,2019,76.47220438,0.7657,0.7914,0.7732,8.474402696
Jharkhand,2018,79.77286381,0.9058,0.7735,0.9806,5.214883361
Manipur,2022,85.40814836,0.9733,0.7352,0.7698,9.748440881
Arunachal Pradesh,2023,83.66590753,0.7034,0.5319,0.8357,6.207644508
Himachal Pradesh,2018,78.91805413,0.8515,0.6724,0.5718,5.961589698
Assam,2022,75.47253333,0.8541,0.8239,0.5718,4.893328302
Uttar Pradesh,2018,89.94249,0.717,0.5837,0.7101,5.833625293
Arunachal Pradesh,2019,78.52362604,0.9288,0.5262,0.6248,9.259904571
Mizoram,2022,79.02774049,0.8535,0.6803,0.9665,9.978006026
Goa,2021,73.27247642,0.9451,0.5358,0.7096,6.209857183
Bihar,2018,85.89619097,0.9381,0.8711,0.9555,6.691663786
Odisha,2018,83.87364452,0.8013,0.9008,0.5636,8.332425629
Odisha,2023,74.41539226,0.8743,0.8484,0.987,9.317174683
Assam,2018,71.64762091,0.6479,0.6556,0.6465,7.558266005
Mizoram,2020,83.60998604,0.9744,0.9199,0.8051,6.349154189
Arunachal Pradesh,2021,83.09022429,0.7672,0.5186,0.7863,6.475731045
Uttar Pradesh,2018,75.46519054,0.7268,0.6584,0.9877,8.173708879
Uttarakhand,2021,89.01727125,0.7091,0.5713,0.9094,4.019309582
Puducherry,2018,73.02115784,0.7398,0.8707,0.5973,7.717536025
Tripura,2018,78.64669602,0.8064,0.9215,0.7726,6.132958063
Madhya Pradesh,2021,88.8723184,0.7837,0.807,0.5999,8.765183988
Chandigarh,2023,78.39454634,0.7477,0.8701,0.7273,4.557943839
Ladakh,2022,82.77051895,0.7549,0.6518,0.5966,7.529213602
Rajasthan,2019,77.95188796,0.7971,0.7329,0.7874,6.885837339
Arunachal Pradesh,2018,75.48430405,0.8445,0.7072,0.9006,7.853953155
Assam,2020,89.67955296,0.6646,0.6028,0.5182,4.389121567
Manipur,2019,78.18668013,0.8265,0.9085,0.9011,7.479902725
Goa,2020,87.88198407,0.9656,0.7586,0.5769,7.368907528
Haryana,2022,74.59909212,0.9804,0.5169,0.8564,7.363960566
Jharkhand,2023,74.26209408,0.964,0.6296,0.9555,7.620926
Manipur,2021,70.62268166,0.6917,0.5603,0.7304,8.058807623
Nagaland,2020,83.03333651,0.6537,0.5725,0.566,8.829933998
Mizoram,2023,77.37052687,0.7553,0.7888,0.8063,5.618924321
Goa,2020,87.287165,0.8846,0.5287,0.5257,8.950296461
Bihar,2020,79.46419813,0.7242,0.5014,0.9103,6.989534094
Delhi,2022,89.36386856,0.7854,0.9124,0.529,4.462349675
Sikkim,2019,73.71051031,0.7862,0.6392,0.5192,4.351305575
Goa,2018,87.37246336,0.613,0.8458,0.5424,6.005429912
Nagaland,2020,85.53193706,0.9601,0.8341,0.8779,8.709381863
Uttarakhand,2021,85.41843689,0.6385,0.7037,0.9413,8.246085608
Uttar Pradesh,2018,86.89566456,0.6297,0.7572,0.9116,8.731689788
Odisha,2023,85.22047982,0.8238,0.6914,0.6318,7.103614339
Chandigarh,2023,82.52440643,0.7517,0.5603,0.6053,6.641193988
Uttarakhand,2020,72.62489755,0.8362,0.9064,0.9719,4.88471516
Goa,2021,70.65052359,0.7728,0.8147,0.7428,5.969156522
Bihar,2023,88.41695696,0.8197,0.6128,0.9481,6.604116197
Rajasthan,2018,82.33300629,0.7285,0.9619,0.8999,4.531602578
Assam,2020,85.93074582,0.7418,0.5764,0.8737,5.323671716
Uttar Pradesh,2021,79.63044703,0.8807,0.8228,0.9375,7.589351764
Meghalaya,2019,72.34616378,0.7658,0.5457,0.7466,8.413978685
Tripura,2019,72.50371584,0.9232,0.8684,0.8852,9.990085068
Maharashtra,2018,83.71130574,0.7666,0.5964,0.58,9.598679988
Chhattisgarh,2021,78.6061179,0.6797,0.5419,0.5402,7.855391197
Gujarat,2020,74.01049453,0.9643,0.6423,0.9026,6.52748832
Himachal Pradesh,2019,79.83189093,0.9839,0.5362,0.7374,7.817064188
Tripura,2023,71.28417874,0.9271,0.8861,0.8357,8.713909708
Sikkim,2021,81.63942804,0.8153,0.878,0.5388,4.710017146
Jharkhand,2022,75.37986809,0.7314,0.9305,0.7369,6.459429338
Assam,2019,85.95118201,0.7181,0.9267,0.9432,9.038813714
Dadra & Nagar Haveli and Daman & Diu,2020,76.20723918,0.812,0.8965,0.8864,6.302997712
Punjab,2020,79.10440298,0.902,0.6536,0.7118,7.431233627
Uttar Pradesh,2023,70.2324108,0.9562,0.9029,0.6813,7.526616165
Tripura,2021,71.44893776,0.7699,0.6595,0.6211,5.106857519
Uttarakhand,2020,77.84987113,0.8543,0.5517,0.7177,6.17341265
Uttarakhand,2022,79.59877669,0.7622,0.9054,0.9377,6.007067732
Chandigarh,2021,82.00041096,0.7805,0.6734,0.6815,4.157180251
Himachal Pradesh,2020,75.83325157,0.6971,0.6712,0.8719,4.145150583
Jammu & Kashmir,2019,83.89963772,0.9166,0.8217,0.7484,8.990182262
Karnataka,2022,87.20244794,0.8809,0.6594,0.5603,5.63842486
Gujarat,2019,85.59701978,0.864,0.6447,0.9611,7.108472597
Uttarakhand,2019,70.79237651,0.8545,0.7049,0.6838,5.792353442
Tamil Nadu,2022,79.61013895,0.8892,0.7782,0.7198,9.644075471
Himachal Pradesh,2023,72.09860357,0.9475,0.6066,0.6774,5.555780553
Ladakh,2022,74.84090032,0.9457,0.9093,0.5571,6.577940876
Andaman & Nicobar Islands,2020,89.73325187,0.924,0.965,0.722,9.236381503
Gujarat,2021,72.84991086,0.9571,0.6584,0.9182,9.051601401
Tripura,2023,79.97776307,0.6671,0.7769,0.9199,5.116608507
Tripura,2018,82.36311469,0.9811,0.9671,0.6127,8.815859859
Arunachal Pradesh,2023,84.04929941,0.6867,0.8989,0.5768,6.74912132
Assam,2022,81.19297367,0.7573,0.825,0.8504,6.897813233
Nagaland,2018,70.19541695,0.9631,0.6245,0.9279,4.800879834
Andhra Pradesh,2021,76.52922616,0.6534,0.7701,0.7228,4.483609083
Tripura,2023,80.35423287,0.843,0.5332,0.5179,8.367635842
Madhya Pradesh,2022,71.75732998,0.9317,0.5922,0.6408,6.978766914
Madhya Pradesh,2019,77.01253862,0.9074,0.505,0.9273,6.621104216
Chandigarh,2019,70.66406218,0.8457,0.915,0.7207,8.377049372
Odisha,2023,71.57156994,0.6011,0.632,0.8601,8.593077394
Uttar Pradesh,2019,77.93846552,0.7232,0.6099,0.7073,4.953449006
Assam,2023,72.65431508,0.7644,0.9343,0.7641,7.661350897
Assam,2018,81.35081697,0.7343,0.7296,0.7989,4.812124494
Nagaland,2023,83.78929938,0.6353,0.6435,0.9253,8.508250516
Assam,2022,86.01173398,0.8119,0.5249,0.7735,7.941730938
Madhya Pradesh,2019,74.00300488,0.717,0.5115,0.5289,9.739687727
Rajasthan,2018,73.34965165,0.6521,0.5099,0.7558,4.413748098
Telangana,2018,72.09135681,0.9526,0.7977,0.9396,4.342328327
Madhya Pradesh,2022,82.72860499,0.6707,0.918,0.673,5.693122448
Odisha,2020,84.12951453,0.9216,0.8144,0.5414,5.570234102
Delhi,2022,70.6317229,0.8916,0.7064,0.9622,5.481872794
Kerala,2020,88.72424492,0.9474,0.8314,0.6827,9.437527483
Lakshadweep,2021,71.03942567,0.7767,0.7283,0.7874,5.497277199
Dadra & Nagar Haveli and Daman & Diu,2022,80.82592671,0.6304,0.5545,0.6343,5.631698357
Delhi,2021,84.18121039,0.6136,0.6891,0.944,8.556389575
Assam,2020,87.41938247,0.7464,0.621,0.5564,6.698439055
Jammu & Kashmir,2023,84.28173864,0.8595,0.6923,0.8713,8.660263342
Punjab,2022,86.03456166,0.9713,0.8858,0.5977,4.392196945
Arunachal Pradesh,2020,76.78900385,0.6109,0.7447,0.7434,6.925427162
Haryana,2023,86.29650227,0.9786,0.6036,0.9217,4.201681601
Sikkim,2021,71.60229693,0.6539,0.7534,0.9699,4.375919221
Gujarat,2022,87.89633312,0.6028,0.7528,0.6739,9.43862472
Gujarat,2019,80.95184752,0.864,0.733,0.8797,4.835472227
Chhattisgarh,2019,86.3459554,0.7116,0.6756,0.7218,7.194524094
Andaman & Nicobar Islands,2022,79.04636569,0.8221,0.7786,0.6941,6.466573616
Karnataka,2019,82.8715539,0.9063,0.5849,0.5496,6.084059958
Bihar,2022,80.52805322,0.7641,0.7706,0.6088,9.399000074
Uttarakhand,2018,84.63179044,0.806,0.5407,0.6367,4.130940381
Gujarat,2022,71.63259964,0.7126,0.8287,0.6911,7.982738117
Dadra & Nagar Haveli and Daman & Diu,2019,71.20704168,0.9783,0.5644,0.9321,9.780366605
Andhra Pradesh,2021,74.94206468,0.8237,0.956,0.8325,7.361009101
Madhya Pradesh,2023,73.1908936,0.7546,0.8899,0.6367,9.620934772
Dadra & Nagar Haveli and Daman & Diu,2019,87.43567133,0.684,0.7093,0.9175,4.313547276
Mizoram,2023,74.38427975,0.6135,0.5708,0.8339,6.512759914
Karnataka,2023,89.51730512,0.8151,0.9472,0.9562,5.560946746
Rajasthan,2021,76.73791584,0.7744,0.7338,0.5854,8.38492579
Delhi,2020,73.64235831,0.8334,0.5103,0.8764,9.887782543
Meghalaya,2023,85.79397014,0.8644,0.5594,0.6906,5.539180375
Madhya Pradesh,2022,83.17415551,0.9153,0.7429,0.6881,7.925047609
Andaman & Nicobar Islands,2018,79.96391433,0.7129,0.717,0.9428,5.188585797
Chhattisgarh,2018,81.10727102,0.6909,0.9141,0.7252,7.391981527
Maharashtra,2021,84.38403557,0.92,0.9176,0.9618,6.78359492
Andaman & Nicobar Islands,2021,74.56909483,0.6951,0.9572,0.9014,9.832031978
Manipur,2023,89.92667832,0.9312,0.728,0.5271,7.651163636
Chhattisgarh,2021,89.49586324,0.7237,0.9593,0.5085,6.097038233
Dadra & Nagar Haveli and Daman & Diu,2021,83.00651373,0.8462,0.6472,0.9669,4.684574709
West Bengal,2021,73.99084902,0.6926,0.5295,0.6932,4.907480972
Andaman & Nicobar Islands,2022,83.60456485,0.8706,0.7588,0.9859,5.35190158
Lakshadweep,2018,71.44396818,0.7639,0.6064,0.8004,5.505799968
Andhra Pradesh,2019,70.61305004,0.936,0.9592,0.9179,9.103696347
Punjab,2018,75.15365777,0.9462,0.7269,0.7991,7.36733673
Delhi,2021,79.25245913,0.8194,0.5929,0.6615,7.140345468
Jharkhand,2021,87.36545011,0.8667,0.5895,0.5076,4.688613231
Jharkhand,2023,84.5433814,0.9472,0.5943,0.6497,9.16083816
Tamil Nadu,2020,84.85413042,0.9661,0.541,0.6519,8.336885819
Uttarakhand,2019,78.50986669,0.608,0.6842,0.9269,4.406010171
Haryana,2018,76.91869985,0.9746,0.6664,0.5243,8.247010583
Andaman & Nicobar Islands,2018,77.42077526,0.8029,0.7075,0.9432,7.261229304
Karnataka,2018,89.75299127,0.6601,0.8003,0.8523,4.490352074
Uttar Pradesh,2019,70.80218383,0.8712,0.7449,0.6534,6.749803849
Punjab,2023,87.34062992,0.8494,0.7307,0.8303,6.908177723
Uttarakhand,2018,81.57350817,0.9268,0.9114,0.7102,4.994647241
Manipur,2021,78.77230838,0.7889,0.6095,0.9714,9.674188882
Uttarakhand,2018,84.50515321,0.9627,0.6554,0.5137,9.099852229
Telangana,2021,79.73337883,0.63,0.8056,0.5704,8.014134024
Tripura,2021,87.46846476,0.7964,0.5515,0.8337,6.773773366
Dadra & Nagar Haveli and Daman & Diu,2021,88.01403728,0.7225,0.8862,0.9648,6.47059325
Madhya Pradesh,2020,78.43441854,0.7404,0.8903,0.9021,7.905840803
Manipur,2021,75.53655594,0.9261,0.6346,0.6705,7.272591216
Gujarat,2022,81.84700657,0.9181,0.6278,0.6481,4.373638635
Gujarat,2018,88.24726691,0.7209,0.6004,0.5693,7.075015893
Puducherry,2021,74.21324378,0.7281,0.6514,0.7354,8.838421703
Goa,2020,82.45933167,0.7408,0.7951,0.9717,6.755439266
Assam,2019,82.6312044,0.8693,0.7176,0.5399,4.311739465
Chhattisgarh,2022,84.66226045,0.7312,0.6257,0.9283,8.717669196
Lakshadweep,2020,72.6313537,0.787,0.972,0.6085,5.208182693
Jammu & Kashmir,2019,84.31649929,0.6193,0.6924,0.5171,5.551725009
Odisha,2022,88.18065041,0.925,0.6492,0.501,4.988238121
Bihar,2019,73.59366218,0.9896,0.9483,0.9491,5.981290389
Uttar Pradesh,2021,74.7508665,0.8283,0.8516,0.726,8.540509034
Kerala,2018,89.42790188,0.8966,0.531,0.7952,7.116315157
Sikkim,2022,73.61953905,0.7702,0.5788,0.9762,5.229287645
Manipur,2021,87.08770187,0.9368,0.8774,0.7278,9.266980469
Delhi,2019,79.84555713,0.6183,0.699,0.6819,9.27749113
Manipur,2018,74.94462149,0.7238,0.5486,0.7001,9.22347055
Sikkim,2019,87.41499803,0.8272,0.6578,0.8809,5.432777268
Jharkhand,2023,78.9061051,0.7163,0.8054,0.5466,6.707436065
Karnataka,2020,80.29634708,0.7977,0.8024,0.8624,9.909937937
Andhra Pradesh,2018,77.18466739,0.8273,0.5856,0.7214,8.632074858
Karnataka,2018,81.85901703,0.8534,0.8587,0.5728,4.163004527
Dadra & Nagar Haveli and Daman & Diu,2020,73.27047745,0.9802,0.686,0.6121,4.391227548
Maharashtra,2019,77.82163073,0.9299,0.8571,0.7149,6.783588261
Ladakh,2019,89.38824645,0.8798,0.8046,0.9656,9.455321235
Uttar Pradesh,2021,75.16266865,0.7044,0.5361,0.9758,7.232210788
Dadra & Nagar Haveli and Daman & Diu,2022,83.13473329,0.6453,0.5746,0.7428,6.986875048
Tripura,2023,76.50380128,0.6372,0.857,0.5621,4.6328422
Andaman & Nicobar Islands,2023,85.46946251,0.8593,0.5509,0.9639,7.940680628
Chhattisgarh,2022,72.61747321,0.8253,0.5968,0.8609,8.932618964
Madhya Pradesh,2018,89.3964209,0.727,0.9139,0.8604,6.282520045
Bihar,2023,79.07579083,0.6926,0.9627,0.5165,8.653671106
Uttar Pradesh,2023,74.72100927,0.8605,0.6007,0.8238,9.786859923
Manipur,2020,71.46993495,0.8617,0.6022,0.6024,5.222598755
Assam,2018,73.3951581,0.8137,0.7299,0.9705,7.139977787
Dadra & Nagar Haveli and Daman & Diu,2018,80.39547897,0.7739,0.5837,0.5091,5.722827749
Goa,2019,76.74006353,0.668,0.7984,0.9202,8.757126514
Sikkim,2018,86.57766732,0.6277,0.8558,0.7677,7.465560195
Kerala,2018,78.61775047,0.7878,0.8631,0.7652,7.807494505
Gujarat,2023,74.97428545,0.7003,0.931,0.938,8.787484958
Arunachal Pradesh,2021,82.34289973,0.896,0.617,0.5041,6.375822836
Bihar,2023,84.13554434,0.8086,0.9615,0.9777,9.49054041
Himachal Pradesh,2018,73.34083816,0.6194,0.5089,0.5921,7.198173203
