State,Year,Labor Force Participation Rate (%),Unemployment_rate,Youth Unemployment Rate (%),Female Unemployment Rate (%),Employment in Agriculture (%),Employment in Services (%)
Jharkhand,2021,0.3274,8.421842336,0.061,0.1593,0.3744,0.1391
Meghalaya,2018,0.4898,7.814631438,0.2203,0.0588,0.4956,0.2896
Kerala,2021,0.4645,6.896695316,0.0723,0.1892,0.472,0.1852
Meghalaya,2020,0.362,5.391336643,0.0698,0.1437,0.3234,0.4827
Delhi,2020,0.664,6.9664635,0.2404,0.0477,0.4644,0.3968
Kerala,2019,0.4623,6.893887083,0.219,0.1451,0.1866,0.1163
Meghalaya,2018,0.5459,5.69280748,0.1275,0.0382,0.4728,0.5796
Karnataka,2023,0.4686,6.735406597,0.1635,0.1094,0.2261,0.2693
Sikkim,2021,0.3025,6.594018938,0.1355,0.1393,0.466,0.4249
Madhya Pradesh,2020,0.6493,7.463400392,0.1796,0.0693,0.2788,0.4495
Jharkhand,2022,0.5016,7.540374603,0.1216,0.0918,0.4973,0.1184
Kerala,2022,0.5265,5.181216039,0.1185,0.0421,0.2714,0.4863
Manipur,2020,0.6432,6.498450459,0.1445,0.1362,0.5019,0.5359
West Bengal,2019,0.6322,7.503439663,0.1512,0.1046,0.2414,0.5681
Assam,2023,0.3735,7.012545034,0.0861,0.0766,0.1524,0.2944
Bihar,2021,0.5855,8.425959365,0.0931,0.1768,0.3462,0.2626
Punjab,2022,0.365,7.634774526,0.0961,0.0568,0.6743,0.1535
Madhya Pradesh,2019,0.6443,5.651737708,0.134,0.0435,0.5801,0.4162
Chhattisgarh,2021,0.6374,5.28227499,0.237,0.0993,0.2247,0.485
Sikkim,2023,0.4413,7.569677113,0.1011,0.1701,0.5738,0.3514
Haryana,2020,0.6037,5.106045242,0.2139,0.1792,0.1628,0.3017
Uttarakhand,2019,0.413,7.343102325,0.1218,0.0313,0.2097,0.4312
Punjab,2019,0.6363,8.760920966,0.1324,0.0504,0.196,0.3
Delhi,2020,0.5543,7.301896712,0.0749,0.1213,0.6913,0.2307
Dadra & Nagar Haveli and Daman & Diu,2022,0.3149,6.552679705,0.1007,0.0483,0.6768,0.5745
Jharkhand,2020,0.4536,7.573152874,0.1618,0.0713,0.4448,0.2982
Jharkhand,2019,0.6571,6.833011562,0.153,0.1645,0.437,0.5365
Bihar,2018,0.49,7.182467157,0.1188,0.066,0.3599,0.2601
Himachal Pradesh,2022,0.5493,8.765859235,0.1617,0.064,0.6463,0.5051
Jammu & Kashmir,2022,0.5842,6.544410551,0.2495,0.0816,0.1568,0.4159
Telangana,2018,0.5229,8.844762255,0.2204,0.1298,0.3148,0.5357
Bihar,2021,0.4571,8.621402568,0.0588,0.0663,0.4639,0.2377
Uttar Pradesh,2022,0.6425,5.783164539,0.1835,0.1121,0.6449,0.4063
Mizoram,2018,0.6402,5.277445204,0.1664,0.0662,0.5568,0.1582
Manipur,2021,0.4886,5.403112006,0.1911,0.031,0.3442,0.4304
Bihar,2019,0.4605,5.072887303,0.0591,0.0944,0.5887,0.4805
Tamil Nadu,2022,0.3876,5.377771843,0.099,0.1923,0.447,0.5751
West Bengal,2020,0.5696,7.732027094,0.0619,0.082,0.4235,0.2213
Gujarat,2020,0.6854,5.284754594,0.1868,0.1605,0.1919,0.1575
Ladakh,2019,0.4069,6.275902521,0.0731,0.078,0.1904,0.1524
Haryana,2022,0.4987,8.379501244,0.2472,0.1659,0.1463,0.2284
Himachal Pradesh,2023,0.4609,5.093087743,0.207,0.0633,0.361,0.5868
Karnataka,2018,0.5624,8.25787393,0.1755,0.0743,0.4043,0.4185
Jharkhand,2019,0.3726,6.127419099,0.0938,0.0959,0.247,0.2646
Meghalaya,2020,0.5222,5.47265931,0.0668,0.035,0.6527,0.1605
Telangana,2023,0.6586,7.786948661,0.1383,0.0876,0.1603,0.5057
Lakshadweep,2019,0.3354,7.515771387,0.2196,0.059,0.4974,0.3686
Chandigarh,2021,0.4274,8.509888054,0.1972,0.1189,0.4651,0.5066
Odisha,2018,0.3287,7.940284175,0.152,0.1838,0.376,0.2832
Punjab,2020,0.5191,8.213923722,0.1776,0.1339,0.624,0.2587
Punjab,2018,0.6498,6.12813829,0.2237,0.1607,0.5432,0.2231
Sikkim,2022,0.5211,5.709758175,0.0883,0.1269,0.303,0.5648
Tripura,2020,0.6397,8.002459007,0.0878,0.197,0.2566,0.222
Madhya Pradesh,2021,0.3617,8.227338957,0.2413,0.1202,0.5815,0.5413
Meghalaya,2023,0.3136,8.962020568,0.1618,0.1903,0.1774,0.4689
Odisha,2019,0.617,6.650470708,0.2467,0.176,0.5498,0.2372
Meghalaya,2018,0.3691,6.488072343,0.1854,0.1547,0.2272,0.2547
Odisha,2019,0.6163,8.105651843,0.2445,0.1423,0.2563,0.3584
Dadra & Nagar Haveli and Daman & Diu,2021,0.5919,6.363214161,0.0702,0.105,0.6201,0.4484
Lakshadweep,2023,0.6931,8.723029302,0.0856,0.0722,0.5156,0.4638
Himachal Pradesh,2021,0.3244,8.433651007,0.1561,0.137,0.3803,0.1873
Kerala,2021,0.5135,6.71597611,0.1616,0.0908,0.112,0.1821
Sikkim,2018,0.5898,8.003484271,0.1707,0.1441,0.188,0.5906
West Bengal,2022,0.3813,8.018171496,0.2487,0.0773,0.2851,0.5527
Kerala,2020,0.4967,5.412495475,0.1639,0.1438,0.32,0.5114
Arunachal Pradesh,2021,0.3558,8.610211627,0.2268,0.1187,0.3752,0.4218
Andhra Pradesh,2018,0.3823,7.02100949,0.2463,0.0588,0.1438,0.4292
Gujarat,2020,0.3241,8.305829864,0.2401,0.1181,0.1586,0.2848
Odisha,2022,0.3441,6.280198404,0.0642,0.168,0.1434,0.2229
Uttar Pradesh,2019,0.4443,8.582092914,0.0857,0.0616,0.1886,0.4226
Bihar,2022,0.3937,6.556806715,0.0621,0.0928,0.6676,0.1527
Himachal Pradesh,2022,0.5244,5.043350606,0.1805,0.1382,0.1744,0.1735
Ladakh,2019,0.4245,8.621527906,0.1483,0.1677,0.1862,0.3434
Manipur,2018,0.4083,5.365146707,0.0959,0.0933,0.1882,0.2134
Kerala,2023,0.4461,6.27725455,0.0543,0.0395,0.5381,0.2011
Puducherry,2023,0.3881,8.800247868,0.1504,0.1422,0.3,0.4206
Lakshadweep,2021,0.3421,8.802428588,0.1738,0.138,0.5302,0.274
Dadra & Nagar Haveli and Daman & Diu,2019,0.6226,7.293751552,0.2168,0.1636,0.3663,0.1332
Andhra Pradesh,2021,0.3195,7.527348849,0.2373,0.0366,0.125,0.2545
Bihar,2021,0.5679,6.793782088,0.1848,0.1051,0.5042,0.2827
Jammu & Kashmir,2018,0.6316,6.172843087,0.1337,0.1935,0.1643,0.4175
Puducherry,2020,0.5004,6.314658181,0.0836,0.0646,0.3849,0.4767
Chandigarh,2023,0.5114,7.690073824,0.1925,0.0668,0.3336,0.3974
Uttarakhand,2022,0.42,8.009498118,0.1071,0.119,0.4118,0.4126
Telangana,2022,0.3423,8.166316175,0.0971,0.1567,0.3961,0.3713
Karnataka,2022,0.3295,8.158472571,0.1244,0.1531,0.5285,0.2182
Meghalaya,2020,0.3397,5.364824412,0.2146,0.1221,0.4454,0.1627
Maharashtra,2020,0.3998,6.977681219,0.1653,0.1997,0.1836,0.5875
Himachal Pradesh,2020,0.4446,5.23023504,0.1802,0.1642,0.6851,0.4178
Jammu & Kashmir,2023,0.4764,7.198115529,0.1122,0.1239,0.3095,0.4766
Himachal Pradesh,2019,0.365,6.766122005,0.0643,0.1059,0.5955,0.2167
Ladakh,2022,0.4974,8.550816731,0.1277,0.0805,0.2064,0.213
Punjab,2023,0.3846,6.40366005,0.1759,0.0921,0.1189,0.5699
Andhra Pradesh,2023,0.594,5.468268066,0.1814,0.0894,0.6581,0.1928
Assam,2022,0.4086,5.571966728,0.1847,0.0936,0.6233,0.2039
Kerala,2022,0.3547,8.046042527,0.1161,0.1525,0.6859,0.1038
Rajasthan,2023,0.6314,7.472872253,0.2229,0.168,0.1478,0.5318
Nagaland,2022,0.5986,5.404490704,0.2125,0.1891,0.5446,0.4109
Uttarakhand,2020,0.3853,5.336427224,0.1153,0.0341,0.3149,0.2911
Odisha,2022,0.6182,7.803876526,0.0756,0.0796,0.5206,0.2051
Kerala,2021,0.4034,5.291052025,0.1325,0.1497,0.1376,0.533
Uttarakhand,2022,0.5448,8.287440237,0.1938,0.155,0.6333,0.4126
Chandigarh,2021,0.5939,7.824968909,0.1578,0.1794,0.4118,0.2886
Mizoram,2019,0.6508,5.325395123,0.154,0.0643,0.3986,0.5395
Madhya Pradesh,2022,0.3023,5.339350856,0.2012,0.0341,0.1902,0.1162
Gujarat,2023,0.6958,8.946558314,0.0866,0.176,0.6683,0.1053
Lakshadweep,2023,0.3669,6.497083183,0.1625,0.1033,0.1151,0.4136
Lakshadweep,2022,0.5867,6.482568588,0.2233,0.0469,0.2948,0.1127
Rajasthan,2019,0.6305,8.251198269,0.1538,0.1754,0.3408,0.1151
Manipur,2022,0.4768,8.78899431,0.098,0.0954,0.5576,0.2074
Arunachal Pradesh,2018,0.5141,8.944004255,0.208,0.1087,0.3608,0.1666
Telangana,2019,0.3934,8.013512741,0.1941,0.1813,0.1722,0.534
Arunachal Pradesh,2019,0.4359,6.505038342,0.1782,0.1913,0.652,0.357
Madhya Pradesh,2021,0.3215,5.334002867,0.0798,0.1475,0.3919,0.313
Goa,2019,0.3597,8.108587664,0.2116,0.1603,0.2371,0.5451
Andhra Pradesh,2018,0.5372,7.233616999,0.0638,0.0676,0.2394,0.4154
Andaman & Nicobar Islands,2022,0.3756,6.696888037,0.1982,0.042,0.2757,0.537
Lakshadweep,2023,0.5617,8.62541754,0.1611,0.1166,0.296,0.2682
Himachal Pradesh,2023,0.4026,5.444789929,0.1737,0.0349,0.237,0.2183
Manipur,2022,0.4853,6.970500417,0.2165,0.0341,0.4441,0.5424
Jammu & Kashmir,2020,0.3721,5.045414579,0.1705,0.1005,0.2409,0.1482
Chandigarh,2018,0.4985,6.874642568,0.1942,0.1375,0.3892,0.1179
Uttar Pradesh,2021,0.342,5.225213103,0.2173,0.194,0.3456,0.3067
Tripura,2018,0.3662,5.475271665,0.0914,0.0892,0.425,0.306
Uttarakhand,2021,0.5731,5.470104987,0.2422,0.0361,0.1311,0.5957
Dadra & Nagar Haveli and Daman & Diu,2018,0.5134,7.596841208,0.1564,0.0955,0.3036,0.3472
Mizoram,2020,0.6427,7.984179517,0.1434,0.0744,0.6543,0.375
Nagaland,2021,0.6794,7.33347506,0.1784,0.1021,0.6112,0.2355
Tripura,2021,0.3603,8.848690194,0.2448,0.0401,0.5171,0.4896
Andaman & Nicobar Islands,2023,0.4413,6.499482318,0.0731,0.1885,0.313,0.1732
Maharashtra,2021,0.6072,6.142848345,0.1907,0.1248,0.4121,0.3992
Telangana,2020,0.3415,8.474396513,0.1706,0.0421,0.2025,0.229
Puducherry,2023,0.4791,5.894383354,0.1587,0.0941,0.5419,0.5222
Haryana,2021,0.3641,8.852890158,0.1682,0.1507,0.35,0.2681
Mizoram,2020,0.5219,5.048617899,0.0753,0.1649,0.6259,0.1307
Karnataka,2020,0.5692,8.879515307,0.1242,0.183,0.6784,0.4096
Gujarat,2021,0.6965,5.172639648,0.0595,0.1761,0.5685,0.3274
Andaman & Nicobar Islands,2018,0.5939,8.564572455,0.1053,0.0472,0.1821,0.4174
Manipur,2020,0.523,7.110804436,0.1317,0.1074,0.5741,0.432
Andhra Pradesh,2020,0.3453,8.971859184,0.1435,0.0943,0.4671,0.3407
Andhra Pradesh,2018,0.3443,5.295186259,0.1037,0.1608,0.375,0.4797
Karnataka,2022,0.413,7.215417138,0.2319,0.1838,0.1356,0.3253
Himachal Pradesh,2023,0.3009,8.877210142,0.0554,0.1982,0.1625,0.4936
Ladakh,2021,0.527,7.092391377,0.1324,0.0557,0.4906,0.1066
West Bengal,2022,0.5599,7.517594553,0.0557,0.1451,0.693,0.2927
Mizoram,2020,0.4697,7.782994756,0.1628,0.0783,0.5088,0.1085
Punjab,2022,0.5132,6.818164259,0.0638,0.1812,0.191,0.5472
West Bengal,2021,0.4642,7.51023232,0.2302,0.0741,0.6309,0.3262
Goa,2023,0.3305,7.337257248,0.2485,0.1778,0.3604,0.3389
Punjab,2023,0.6482,8.604632042,0.2436,0.1141,0.5694,0.3448
Nagaland,2020,0.6064,5.181785521,0.0607,0.1567,0.2992,0.3883
Andhra Pradesh,2021,0.4608,6.123852758,0.1069,0.0356,0.6265,0.5882
Tripura,2021,0.5478,8.801645936,0.1999,0.0831,0.3845,0.2457
Dadra & Nagar Haveli and Daman & Diu,2020,0.3858,8.561055136,0.1603,0.1882,0.2036,0.2259
Uttarakhand,2023,0.5137,6.822627011,0.179,0.1397,0.4528,0.1286
Jammu & Kashmir,2019,0.6505,7.480530391,0.2355,0.1091,0.1316,0.2171
Uttar Pradesh,2018,0.3035,6.109524732,0.1404,0.158,0.6551,0.3019
Rajasthan,2021,0.4407,5.752484639,0.0806,0.1125,0.2118,0.3338
Meghalaya,2021,0.3242,6.85479362,0.1443,0.0443,0.6572,0.4906
Telangana,2023,0.366,6.413408912,0.2092,0.0583,0.3604,0.4079
Nagaland,2018,0.3451,7.334624447,0.0548,0.1899,0.5812,0.5726
Jharkhand,2018,0.5525,5.310938548,0.236,0.0976,0.2641,0.5349
Puducherry,2019,0.411,8.897579231,0.1636,0.0944,0.44,0.4654
West Bengal,2018,0.3507,8.944842978,0.1753,0.1173,0.1281,0.5049
Haryana,2022,0.3809,7.792646856,0.1346,0.1487,0.1216,0.5385
Himachal Pradesh,2021,0.5223,7.144385465,0.0792,0.0408,0.3327,0.1273
Andhra Pradesh,2019,0.473,6.238110465,0.2138,0.1183,0.6048,0.52
Jharkhand,2018,0.441,8.255180079,0.1852,0.1315,0.5427,0.1175
Manipur,2022,0.6296,7.73892469,0.0633,0.0908,0.3207,0.2524
Arunachal Pradesh,2023,0.337,5.650467757,0.1133,0.0529,0.4781,0.1326
Himachal Pradesh,2018,0.3657,8.643708738,0.0502,0.1275,0.4094,0.1751
Assam,2022,0.5965,8.290148972,0.2203,0.0596,0.4335,0.1457
Uttar Pradesh,2018,0.6792,8.799199653,0.1834,0.0717,0.6407,0.1913
Arunachal Pradesh,2019,0.6429,7.902878034,0.2,0.1632,0.5083,0.1074
Mizoram,2022,0.5878,7.453660784,0.1367,0.1284,0.5495,0.4519
Goa,2021,0.3463,6.672972145,0.1936,0.1263,0.4574,0.4811
Bihar,2018,0.6977,8.730913933,0.2433,0.0632,0.2601,0.141
Odisha,2018,0.5044,8.464255558,0.2459,0.0418,0.3664,0.4107
Odisha,2023,0.6817,5.18087468,0.1801,0.1597,0.3843,0.5826
Assam,2018,0.3973,5.105467898,0.1147,0.06,0.2111,0.3699
Mizoram,2020,0.3743,6.505853468,0.0699,0.0931,0.2987,0.1806
Arunachal Pradesh,2021,0.6337,8.242213323,0.2291,0.1448,0.1143,0.2462
Uttar Pradesh,2018,0.4389,8.949104517,0.0717,0.0996,0.2167,0.4925
Uttarakhand,2021,0.4525,5.601667564,0.0772,0.1094,0.5837,0.4399
Puducherry,2018,0.3552,7.376522861,0.1174,0.071,0.2844,0.2486
Tripura,2018,0.6398,6.523563427,0.2333,0.0378,0.3046,0.1517
Madhya Pradesh,2021,0.5336,8.879657591,0.1075,0.0977,0.4788,0.5416
Chandigarh,2023,0.4171,8.368475693,0.1009,0.155,0.4442,0.1178
Ladakh,2022,0.5351,8.353314819,0.0771,0.1667,0.2327,0.5702
Rajasthan,2019,0.4179,6.874772639,0.0731,0.1416,0.5816,0.4757
Arunachal Pradesh,2018,0.6074,6.659278009,0.0902,0.1319,0.3443,0.5892
Assam,2020,0.3578,6.093628288,0.0542,0.1379,0.2351,0.1308
Manipur,2019,0.4442,5.225501987,0.1127,0.169,0.5868,0.5384
Goa,2020,0.6787,8.458889505,0.1387,0.1038,0.512,0.1688
Haryana,2022,0.6155,8.251604037,0.0659,0.0794,0.6475,0.5344
Jharkhand,2023,0.6493,8.998870693,0.2411,0.1641,0.6662,0.2028
Manipur,2021,0.4265,8.986547348,0.1854,0.1688,0.3513,0.3087
Nagaland,2020,0.5569,7.221726822,0.2044,0.0938,0.2068,0.2204
Mizoram,2023,0.324,8.075949661,0.0832,0.0641,0.4574,0.154
Goa,2020,0.5595,8.77906292,0.1079,0.0874,0.3795,0.1445
Bihar,2020,0.3888,8.398589563,0.1663,0.1826,0.4821,0.3399
Delhi,2022,0.3715,5.989392407,0.1497,0.1972,0.6533,0.269
Sikkim,2019,0.4397,6.802176541,0.2025,0.0608,0.208,0.5442
Goa,2018,0.5548,5.516637661,0.2295,0.1715,0.3128,0.4774
Nagaland,2020,0.3282,8.816204109,0.1044,0.1733,0.1096,0.1838
Uttarakhand,2021,0.4563,7.424698538,0.1005,0.1695,0.4039,0.4279
Uttar Pradesh,2018,0.4011,5.914571222,0.1363,0.0424,0.6417,0.2696
Odisha,2023,0.5836,7.686802738,0.1973,0.1877,0.4031,0.4065
Chandigarh,2023,0.6513,7.472512962,0.1172,0.1011,0.6823,0.1403
Uttarakhand,2020,0.4547,6.432650872,0.2406,0.1027,0.2204,0.4736
Goa,2021,0.4713,5.454230369,0.0706,0.036,0.2597,0.46
Bihar,2023,0.656,7.686292782,0.1015,0.0587,0.3856,0.5161
Rajasthan,2018,0.3187,7.081230804,0.0979,0.1094,0.6433,0.2013
Assam,2020,0.5888,8.089273567,0.1824,0.1058,0.3095,0.3025
Uttar Pradesh,2021,0.682,7.080654004,0.1503,0.081,0.1113,0.5923
Meghalaya,2019,0.4991,8.408726001,0.2284,0.0463,0.2288,0.4474
Tripura,2019,0.3305,7.207627355,0.1251,0.1869,0.3579,0.3906
Maharashtra,2018,0.4788,7.243751886,0.1102,0.1249,0.3614,0.2413
Chhattisgarh,2021,0.5146,8.506614411,0.0814,0.1017,0.4289,0.2479
Gujarat,2020,0.3839,6.613931465,0.1187,0.1338,0.594,0.5578
Himachal Pradesh,2019,0.5296,5.536060914,0.1705,0.1846,0.2991,0.4014
Tripura,2023,0.3593,5.115130705,0.0863,0.066,0.5713,0.4004
Sikkim,2021,0.3856,8.020549023,0.1553,0.1246,0.3769,0.401
Jharkhand,2022,0.6678,7.481238205,0.1983,0.1201,0.221,0.5799
Assam,2019,0.3068,7.816319072,0.1061,0.1279,0.3189,0.3773
Dadra & Nagar Haveli and Daman & Diu,2020,0.6096,5.851856646,0.0756,0.1933,0.484,0.2052
Punjab,2020,0.5288,5.545485902,0.2238,0.1044,0.5157,0.4001
Uttar Pradesh,2023,0.3542,5.058178663,0.2469,0.0973,0.3841,0.3469
Tripura,2021,0.6969,6.402350235,0.2331,0.0643,0.1654,0.3983
Uttarakhand,2020,0.4087,7.359670747,0.0995,0.0531,0.2712,0.5692
Uttarakhand,2022,0.377,6.56897618,0.2479,0.1866,0.6598,0.4985
Chandigarh,2021,0.399,6.749899688,0.2107,0.059,0.5019,0.4256
Himachal Pradesh,2020,0.4899,8.616634778,0.1574,0.1238,0.4199,0.4225
Jammu & Kashmir,2019,0.5681,6.393021868,0.1862,0.1917,0.4677,0.5944
Karnataka,2022,0.4533,7.055957957,0.2044,0.057,0.6185,0.3822
Gujarat,2019,0.5346,8.134612051,0.0501,0.0305,0.6883,0.1163
Uttarakhand,2019,0.6025,6.586171129,0.1692,0.0502,0.2611,0.1868
Tamil Nadu,2022,0.4357,7.488346801,0.2164,0.085,0.6394,0.1214
Himachal Pradesh,2023,0.6606,8.449454835,0.0639,0.0744,0.2619,0.5746
Ladakh,2022,0.6802,8.798082495,0.1889,0.1662,0.1446,0.3855
Andaman & Nicobar Islands,2020,0.6262,5.588293924,0.2153,0.1007,0.4853,0.3274
Gujarat,2021,0.389,8.706350501,0.1306,0.1698,0.5769,0.5402
Tripura,2023,0.4952,6.968465172,0.1963,0.1715,0.5217,0.1795
Tripura,2018,0.4045,6.032977553,0.1857,0.1026,0.3066,0.494
Arunachal Pradesh,2023,0.6192,6.836543025,0.0657,0.0747,0.125,0.3062
Assam,2022,0.3705,8.920130301,0.1929,0.1257,0.2362,0.344
Nagaland,2018,0.4155,6.970472376,0.1197,0.0635,0.3174,0.2119
Andhra Pradesh,2021,0.4101,6.315006441,0.1916,0.1813,0.6989,0.2449
Tripura,2023,0.6746,7.533603417,0.1758,0.0412,0.4371,0.3593
Madhya Pradesh,2022,0.642,5.960582475,0.0667,0.1671,0.4506,0.3028
Madhya Pradesh,2019,0.4835,5.303453312,0.0776,0.0957,0.2297,0.3322
Chandigarh,2019,0.687,5.515518888,0.1668,0.0438,0.5904,0.586
Odisha,2023,0.4252,5.512183356,0.0686,0.1018,0.1032,0.2855
Uttar Pradesh,2019,0.5679,5.607610774,0.1279,0.1133,0.4925,0.2942
Assam,2023,0.3477,5.555308691,0.22,0.1751,0.3302,0.1575
Assam,2018,0.3465,7.563498979,0.2308,0.0896,0.4868,0.5551
Nagaland,2023,0.4085,5.727520338,0.0635,0.0977,0.2572,0.3401
Assam,2022,0.6604,6.382669133,0.2451,0.1925,0.6242,0.5107
Madhya Pradesh,2019,0.5003,8.58715364,0.1501,0.0934,0.422,0.3998
Rajasthan,2018,0.3965,6.895846561,0.1638,0.0407,0.2755,0.1096
Telangana,2018,0.4418,7.670230954,0.1574,0.1278,0.4061,0.3959
Madhya Pradesh,2022,0.3505,5.689279485,0.2066,0.048,0.5781,0.4366
Odisha,2020,0.47,5.769156075,0.0984,0.1141,0.6306,0.4696
Delhi,2022,0.4582,5.163474465,0.2223,0.0472,0.6065,0.3046
Kerala,2020,0.5754,5.675740252,0.2305,0.1998,0.6151,0.2479
Lakshadweep,2021,0.6239,6.114361356,0.069,0.0891,0.615,0.5572
Dadra & Nagar Haveli and Daman & Diu,2022,0.5773,5.708041937,0.1817,0.1029,0.2093,0.5589
Delhi,2021,0.3571,5.354810135,0.1647,0.1824,0.4853,0.1174
Assam,2020,0.4312,5.482543484,0.1114,0.0822,0.2524,0.5069
Jammu & Kashmir,2023,0.4312,6.843115072,0.2237,0.0708,0.3766,0.3827
Punjab,2022,0.698,5.825334874,0.2387,0.0432,0.6606,0.2331
Arunachal Pradesh,2020,0.6173,6.457079444,0.2181,0.1292,0.5222,0.4421
Haryana,2023,0.404,7.013669083,0.2027,0.1281,0.341,0.3293
Sikkim,2021,0.3447,7.761579315,0.117,0.1348,0.1948,0.5084
Gujarat,2022,0.4686,5.157248559,0.1124,0.0403,0.5159,0.3867
Gujarat,2019,0.3797,8.197641596,0.0872,0.1066,0.4711,0.2044
Chhattisgarh,2019,0.5788,7.511601558,0.2365,0.13,0.4889,0.4189
Andaman & Nicobar Islands,2022,0.6962,5.327036128,0.2057,0.0992,0.3342,0.439
Karnataka,2019,0.3538,8.494314496,0.2378,0.08,0.1265,0.4268
Bihar,2022,0.3016,8.683489602,0.0536,0.16,0.5907,0.5143
Uttarakhand,2018,0.6435,5.244311839,0.1927,0.1012,0.565,0.5303
Gujarat,2022,0.6489,6.107510593,0.2171,0.1657,0.4538,0.2115
Dadra & Nagar Haveli and Daman & Diu,2019,0.6028,8.224805119,0.1411,0.0416,0.2596,0.4531
Andhra Pradesh,2021,0.5814,7.993038762,0.084,0.0331,0.3146,0.5817
Madhya Pradesh,2023,0.4287,5.738084077,0.226,0.0609,0.4439,0.1185
Dadra & Nagar Haveli and Daman & Diu,2019,0.3623,5.837397293,0.1596,0.0765,0.6611,0.1493
Mizoram,2023,0.4785,6.481888411,0.0775,0.0818,0.515,0.102
Karnataka,2023,0.3747,6.938091941,0.1475,0.114,0.2585,0.4377
Rajasthan,2021,0.5123,7.473019086,0.0521,0.1218,0.1735,0.42
Delhi,2020,0.4419,6.475654558,0.1874,0.17,0.5861,0.5607
Meghalaya,2023,0.534,6.850138865,0.1638,0.173,0.4377,0.3127
Madhya Pradesh,2022,0.6941,7.989883753,0.1718,0.1243,0.2755,0.1247
Andaman & Nicobar Islands,2018,0.3883,5.146732812,0.0725,0.1843,0.2721,0.4362
Chhattisgarh,2018,0.5453,6.009747777,0.2248,0.1273,0.6394,0.4987
Maharashtra,2021,0.5653,7.853398344,0.1787,0.0467,0.6802,0.5504
Andaman & Nicobar Islands,2021,0.6359,8.580827351,0.0682,0.1022,0.2721,0.2121
Manipur,2023,0.6295,7.046709768,0.1185,0.1932,0.4253,0.2874
Chhattisgarh,2021,0.447,7.128453941,0.1774,0.1749,0.1563,0.4825
Dadra & Nagar Haveli and Daman & Diu,2021,0.3702,5.428688045,0.2492,0.1049,0.4306,0.3829
West Bengal,2021,0.3451,6.789649467,0.1016,0.1477,0.4531,0.3033
Andaman & Nicobar Islands,2022,0.571,7.130469066,0.0884,0.0699,0.1592,0.1654
Lakshadweep,2018,0.6822,5.969882015,0.2103,0.1825,0.6715,0.3569
Andhra Pradesh,2019,0.6856,6.076972924,0.1298,0.1413,0.5475,0.5155
Punjab,2018,0.4412,6.509136652,0.0686,0.1778,0.1811,0.4353
Delhi,2021,0.4466,5.080284791,0.2466,0.0824,0.6345,0.4769
Jharkhand,2021,0.5184,6.288316662,0.2107,0.0516,0.2638,0.1717
Jharkhand,2023,0.4989,5.845792028,0.0625,0.1579,0.4868,0.4504
Tamil Nadu,2020,0.3738,6.309989409,0.1169,0.1037,0.4396,0.1208
Uttarakhand,2019,0.6633,5.479048527,0.2395,0.1068,0.2938,0.3526
Haryana,2018,0.3185,8.562109123,0.1,0.0448,0.4131,0.4282
Andaman & Nicobar Islands,2018,0.3597,7.374369814,0.133,0.1037,0.5658,0.1379
Karnataka,2018,0.3368,7.716409277,0.105,0.056,0.6766,0.1789
Uttar Pradesh,2019,0.3504,8.156684954,0.0797,0.0793,0.1769,0.3536
Punjab,2023,0.4899,6.993768796,0.052,0.0421,0.3956,0.3465
Uttarakhand,2018,0.3439,5.347681152,0.069,0.0435,0.6845,0.414
Manipur,2021,0.3575,7.148426167,0.1207,0.0678,0.3534,0.5636
Uttarakhand,2018,0.4228,7.347364472,0.229,0.0453,0.4982,0.1712
Telangana,2021,0.5176,7.981757897,0.1034,0.0768,0.4668,0.5046
Tripura,2021,0.594,6.726638185,0.1175,0.1556,0.3293,0.1436
Dadra & Nagar Haveli and Daman & Diu,2021,0.6106,5.510321211,0.2064,0.0544,0.5719,0.1833
Madhya Pradesh,2020,0.4584,6.135103623,0.2357,0.1841,0.1156,0.2412
Manipur,2021,0.3265,6.452329186,0.0819,0.0615,0.6778,0.3895
Gujarat,2022,0.4063,7.583668965,0.0513,0.1375,0.4312,0.5387
Gujarat,2018,0.3499,7.283113219,0.1642,0.0443,0.1489,0.5787
Puducherry,2021,0.6025,6.424386904,0.0918,0.0561,0.569,0.2076
Goa,2020,0.6312,8.946060995,0.2473,0.117,0.4784,0.3778
Assam,2019,0.6603,7.423099277,0.2369,0.1022,0.1088,0.4218
Chhattisgarh,2022,0.6498,5.948907167,0.0529,0.1497,0.5002,0.3731
Lakshadweep,2020,0.4185,5.40712989,0.1307,0.0849,0.3339,0.2777
Jammu & Kashmir,2019,0.4996,5.611436557,0.2181,0.1975,0.1219,0.3046
Odisha,2022,0.5196,5.983830914,0.0776,0.0347,0.1898,0.2816
Bihar,2019,0.5897,5.642725493,0.2024,0.0416,0.3164,0.4511
Uttar Pradesh,2021,0.6079,5.746268096,0.1595,0.1713,0.6765,0.2063
Kerala,2018,0.4753,6.140380675,0.0954,0.081,0.684,0.2137
Sikkim,2022,0.4137,5.693494381,0.1691,0.0512,0.5088,0.396
Manipur,2021,0.4093,8.587061699,0.1112,0.1322,0.637,0.5934
Delhi,2019,0.5198,5.320934983,0.0687,0.0753,0.6815,0.5147
Manipur,2018,0.6001,7.098045558,0.1437,0.1503,0.1386,0.4994
Sikkim,2019,0.6904,6.641587308,0.0927,0.1814,0.4594,0.3152
