State,Year,Population,GDP per Capita (INR),Poverty_rate
Dadra & Nagar Haveli and Daman & Diu,2022,425579,115366,19.93450255
Delhi,2021,739517,141375,17.63685637
Assam,2020,608516,240748,18.01857744
Jammu & Kashmir,2023,1845962,247192,17.62838272
Punjab,2022,102066,141850,18.7828966
Arunachal Pradesh,2020,2464802,108229,20.15545758
Haryana,2023,2530017,127537,19.53552636
Sikkim,2021,981398,230658,19.80187855
Gujarat,2022,202353,142935,21.04334769
Gujarat,2019,692927,148248,19.07454648
Chhattisgarh,2019,2568766,213043,18.60125668
Andaman & Nicobar Islands,2022,814948,67594,20.89450626
Karnataka,2019,1544139,156244,20.97613129
Bihar,2022,2125915,233196,20.287163
Uttarakhand,2018,1846929,153145,17.83837818
Gujarat,2022,1522608,53408,20.39742746
Dadra & Nagar Haveli and Daman & Diu,2019,2966397,225403,19.36579645
Andhra Pradesh,2021,1208423,190443,20.69279965
Madhya Pradesh,2023,1854933,59320,19.10138615
Dadra & Nagar Haveli and Daman & Diu,2019,229300,113265,17.27557196
Mizoram,2023,2704525,127064,20.32396539
Karnataka,2023,1810328,51067,16.73459246
Rajasthan,2021,597578,142551,18.64436374
Delhi,2020,1334468,243408,17.5465886
Meghalaya,2023,1014266,134824,18.16917766
Madhya Pradesh,2022,1737023,206318,18.3644019
Andaman & Nicobar Islands,2018,1662850,104095,20.93756724
Chhattisgarh,2018,1280746,223226,19.95452879
Maharashtra,2021,1899388,237968,18.76127906
Andaman & Nicobar Islands,2021,1627127,138585,21.30674321
Manipur,2023,1565412,51751,18.79121271
Chhattisgarh,2021,2328348,82870,18.36616336
Dadra & Nagar Haveli and Daman & Diu,2021,228475,66365,20.75418489
West Bengal,2021,1622837,174905,19.86483976
Andaman & Nicobar Islands,2022,1499169,108572,19.07893647
Lakshadweep,2018,446904,99284,17.96229171
Andhra Pradesh,2019,1190234,87993,21.57501327
Punjab,2018,1126048,89946,17.46300038
Delhi,2021,1437828,204138,18.05084588
Jharkhand,2021,1650741,219073,19.19303153
Jharkhand,2023,128116,152226,21.74459535
Tamil Nadu,2020,57086,157818,19.90343624
Uttarakhand,2019,337555,135928,19.79005107
Haryana,2018,1783985,166690,18.87385977
Andaman & Nicobar Islands,2018,2378481,87732,20.60242968
Karnataka,2018,2370220,124283,19.83343531
Uttar Pradesh,2019,427332,114153,17.67059991
Punjab,2023,2447466,129976,20.6677861
Uttarakhand,2018,1818828,72679,20.84245829
Manipur,2021,2807506,242235,20.07368423
Uttarakhand,2018,881710,127911,19.81785918
Telangana,2021,1998058,55651,18.96289578
Tripura,2021,1827850,162669,16.39393093
Dadra & Nagar Haveli and Daman & Diu,2021,2191572,67710,19.97201361
Madhya Pradesh,2020,2318108,125345,20.89445169
Manipur,2021,2101723,30363,21.34000181
Gujarat,2022,678380,216384,20.10170288
Gujarat,2018,1563083,226375,19.02600213
Puducherry,2021,2089436,140205,20.85699853
Goa,2020,1164518,43689,21.59731169
Assam,2019,1621951,141672,18.91802327
Chhattisgarh,2022,692613,49337,20.89272763
Lakshadweep,2020,2593071,62577,18.87289101
Jammu & Kashmir,2019,304547,196433,19.63749926
Odisha,2022,911864,152872,17.57747161
Bihar,2019,1571466,150956,17.53401957
Uttar Pradesh,2021,1527310,87813,21.01957113
Kerala,2018,710197,244235,20.07289823
Sikkim,2022,421557,84213,20.31907468
Manipur,2021,981775,177147,19.81903975
Delhi,2019,2702797,232910,15.68840308
Manipur,2018,424368,93656,19.75234792
Sikkim,2019,862802,155342,19.95552041
Jharkhand,2023,2927429,89993,19.38354175
Karnataka,2020,2292433,209515,18.06338075
Andhra Pradesh,2018,750336,204668,20.98241377
Karnataka,2018,118207,102055,19.83460557
Dadra & Nagar Haveli and Daman & Diu,2020,737537,152196,20.06435032
Maharashtra,2019,221277,64159,21.13024721
Ladakh,2019,1442928,215888,17.81066843
Uttar Pradesh,2021,2649087,34482,20.14864869
Dadra & Nagar Haveli and Daman & Diu,2022,1362128,72903,21.75897219
Tripura,2023,1451471,92894,22.27520811
Andaman & Nicobar Islands,2023,950050,39695,20.29188153
Chhattisgarh,2022,1903207,66609,19.69407064
Madhya Pradesh,2018,520192,44678,20.35422182
Bihar,2023,2875494,80583,20.41094803
Uttar Pradesh,2023,2996086,192357,20.87896847
Manipur,2020,798810,247509,17.29516948
Assam,2018,582726,50095,19.57476055
Dadra & Nagar Haveli and Daman & Diu,2018,2750030,58231,18.49465423
Goa,2019,2104410,136956,18.09898049
Sikkim,2018,1910966,237374,19.26699001
Kerala,2018,2030407,143880,20.62829815
Gujarat,2023,543992,193926,18.2421834
Arunachal Pradesh,2021,880051,72821,20.9581535
Bihar,2023,557365,125040,20.98496439
Himachal Pradesh,2018,1540017,249057,21.3018224
